participant,classifier,mean_accuracy,std_accuracy
1,LogisticRegression,0.70200073,0.027967921
1,LDA,0.69237678,0.027743475
1,SVM,0.668258488,0.044060596
1,RandomForest,0.624833881,0.028296166
1,KNN,0.569361081,0.025416245
2,LogisticRegression,0.739025077,0.030184034
2,LDA,0.723605241,0.020036462
2,SVM,0.714165962,0.024684939
2,RandomForest,0.660735418,0.031032827
2,KNN,0.621646943,0.034821004
3,LogisticRegression,0.876119403,0.010122881
3,LDA,0.858208955,0.026278831
3,SVM,0.820895522,0.034035087
3,RandomForest,0.776119403,0.044023526
3,KNN,0.662686567,0.028864298
4,LogisticRegression,0.854940746,0.024698475
4,SVM,0.850967236,0.028903677
4,LDA,0.835134193,0.019636416
4,RandomForest,0.812713489,0.025214007
4,KNN,0.724302893,0.036418633
6,LogisticRegression,0.847682119,0.01726941
6,LDA,0.822516556,0.018917691
6,SVM,0.814569536,0.024779188
6,RandomForest,0.78807947,0.051126514
6,KNN,0.719205298,0.017065031
7,SVM,0.836327543,0.012121379
7,RandomForest,0.833730356,0.01775957
7,LogisticRegression,0.82216708,0.02254969
7,LDA,0.801555004,0.032430681
7,KNN,0.773225806,0.027816853
8,LogisticRegression,0.841142857,0.030323427
8,LDA,0.833142857,0.030962782
8,SVM,0.829714286,0.027618391
8,RandomForest,0.801142857,0.024617896
8,KNN,0.755428571,0.019595918
9,LogisticRegression,0.849438202,0.024973158
9,SVM,0.829213483,0.023461363
9,LDA,0.82247191,0.022639822
9,RandomForest,0.815730337,0.030440937
9,KNN,0.73258427,0.022639822
10,SVM,0.956701031,0.019990432
10,RandomForest,0.944329897,0.005050494
10,LogisticRegression,0.93814433,0.02608064
10,KNN,0.927835052,0.025252472
10,LDA,0.870103093,0.032989691
11,LogisticRegression,0.902970297,0.03777977
11,SVM,0.861386139,0.029371083
11,RandomForest,0.851485149,0.045587582
11,LDA,0.847524752,0.020387386
11,KNN,0.772277228,0.033135051
12,SVM,0.851611454,0.017572805
12,LogisticRegression,0.842559065,0.016002955
12,RandomForest,0.841397021,0.03330644
12,LDA,0.81875321,0.02486882
12,KNN,0.797232922,0.024538836
15,LogisticRegression,0.908737864,0.019991515
15,SVM,0.885436893,0.020732191
15,RandomForest,0.866019417,0.018825941
15,LDA,0.860194175,0.018007026
15,KNN,0.836893204,0.011322237
18,LogisticRegression,0.881545031,0.010427444
18,LDA,0.854130435,0.014896367
18,SVM,0.854099379,0.016218916
18,RandomForest,0.810419255,0.037384751
18,KNN,0.715690994,0.02173205
19,LogisticRegression,0.88190186,0.012707026
19,SVM,0.862749952,0.013297371
19,LDA,0.856002031,0.011778835
19,RandomForest,0.829023043,0.022901427
19,KNN,0.802018663,0.018659555
21,SVM,0.930184727,0.023474947
21,RandomForest,0.91331175,0.011412375
21,KNN,0.897505237,0.0223929
21,LogisticRegression,0.876156922,0.057687109
21,LDA,0.863733892,0.048920343
22,RandomForest,0.785635359,0.038815841
22,SVM,0.785635359,0.031910561
22,LogisticRegression,0.75801105,0.036880264
22,KNN,0.716022099,0.048994032
22,LDA,0.712707182,0.049539253
23,LogisticRegression,0.890909091,0.003833064
23,LDA,0.850909091,0.011876314
23,SVM,0.844848485,0.022546758
23,RandomForest,0.818181818,0.015804127
23,KNN,0.781818182,0.033634999
24,LogisticRegression,0.846478747,0.024120463
24,LDA,0.822469799,0.023825113
24,SVM,0.799731544,0.041743389
24,RandomForest,0.793055928,0.027003642
24,KNN,0.698299776,0.043670398
25,LogisticRegression,0.878635522,0.028397327
25,LDA,0.848184019,0.019539507
25,SVM,0.829539952,0.04003147
25,RandomForest,0.794174619,0.039121734
25,KNN,0.723216066,0.070126732
26,LogisticRegression,0.896365606,0.010205972
26,SVM,0.889372599,0.011889283
26,LDA,0.883738796,0.014523849
26,RandomForest,0.861341475,0.016804243
26,KNN,0.845937161,0.026906125
27,LogisticRegression,0.786276647,0.026831639
27,SVM,0.784750484,0.01624252
27,LDA,0.76597626,0.020518797
27,RandomForest,0.756625484,0.04118341
27,KNN,0.695869671,0.063383355
28,LogisticRegression,0.884777402,0.015429801
28,LDA,0.853846154,0.036456953
28,SVM,0.851549732,0.014442704
28,RandomForest,0.800493097,0.018835897
28,KNN,0.76007326,0.020650325
29,LogisticRegression,0.879845135,0.017338815
29,SVM,0.863393559,0.014242926
29,LDA,0.851329817,0.02408317
29,RandomForest,0.801806756,0.015405532
29,KNN,0.714611155,0.043314143
30,RandomForest,0.901796407,0.020253335
30,SVM,0.891017964,0.014861885
30,LogisticRegression,0.868263473,0.028842143
30,KNN,0.861077844,0.01278692
30,LDA,0.85988024,0.031594984
