PID,block_num,before_cleaning,After_cleaning
1,D0,142,110
1,ND0,99,89
1,D1,100,85
1,ND1,99,99
1,D2,114,113
1,ND2,113,95
1,D3,114,101
1,ND3,141,137
2,D0,100,98
2,ND0,138,132
2,D1,86,83
2,ND1,99,85
2,D2,114,90
2,ND2,113,113
2,D3,142,129
2,ND3,113,113
3,D0,78,76
3,ND0,79,71
3,D1,102,100
3,ND1,82,82
3,D2,76,71
3,ND2,114,102
3,D3,96,95
3,ND3,92,73
4,D0,70,70
4,ND0,91,90
4,D1,98,91
4,ND1,113,112
4,D2,120,114
4,ND2,102,101
4,D3,102,90
4,ND3,98,90
5,D0,142,141
5,ND0,99,99
5,D1,100,98
5,ND1,99,99
5,D2,114,106
5,ND2,113,113
5,D3,114,114
5,ND3,141,137
6,D0,86,86
6,ND0,141,136
6,D1,100,96
6,ND1,99,79
6,D2,114,93
6,ND2,113,93
6,D3,142,102
6,ND3,113,70
7,D0,100,73
7,ND0,99,87
7,D1,142,108
7,ND1,99,96
7,D2,114,104
7,ND2,141,136
7,D3,114,59
7,ND3,113,113
8,D0,100,91
8,ND0,99,99
8,D1,100,97
8,ND1,141,133
8,D2,142,115
8,ND2,113,113
8,D3,114,114
8,ND3,113,113
9,D0,142,126
9,ND0,99,97
9,D1,100,99
9,ND1,99,93
9,D2,114,111
9,ND2,113,112
9,D3,114,113
9,ND3,141,139
10,D0,62,62
10,ND0,65,64
10,D1,50,50
10,ND1,58,56
10,D2,70,56
10,ND2,61,58
10,D3,84,81
10,ND3,58,58
11,D0,86,86
11,ND0,53,53
11,D1,68,65
11,ND1,52,49
11,D2,78,71
11,ND2,88,88
11,D3,72,39
11,ND3,56,54
12,D0,86,85
12,ND0,99,91
12,D1,100,98
12,ND1,141,138
12,D2,142,137
12,ND2,113,113
12,D3,114,113
12,ND3,113,108
13,D0,142,115
13,ND0,99,81
13,D1,100,84
13,ND1,99,98
13,D2,100,99
13,ND2,113,108
13,D3,114,100
13,ND3,141,45
15,D0,52,50
15,ND0,63,53
15,D1,78,62
15,ND1,67,63
15,D2,84,75
15,ND2,99,99
15,D3,78,51
15,ND3,79,62
16,D0,100,98
16,ND0,99,99
16,D1,100,100
16,ND1,141,140
16,D2,142,142
16,ND2,113,112
16,D3,100,100
16,ND3,113,106
17,D0,142,137
17,ND0,99,88
17,D1,100,78
17,ND1,99,92
17,D2,114,91
17,ND2,113,84
17,D3,114,114
17,ND3,141,124
18,D0,84,77
18,ND0,115,105
18,D1,100,90
18,ND1,89,88
18,D2,104,104
18,ND2,107,107
18,D3,126,126
18,ND3,105,105
19,D0,100,99
19,ND0,99,98
19,D1,128,125
19,ND1,99,99
19,D2,114,114
19,ND2,138,129
19,D3,114,114
19,ND3,113,111
20,D0,88,83
20,ND0,97,97
20,D1,100,98
20,ND1,133,133
20,D2,136,134
20,ND2,95,91
20,D3,114,111
20,ND3,110,105
21,D0,142,132
21,ND0,99,96
21,D1,100,96
21,ND1,99,97
21,D2,114,114
21,ND2,113,112
21,D3,114,101
21,ND3,141,140
22,D0,100,100
22,ND0,141,141
22,D1,86,84
22,ND1,99,98
22,D2,114,114
22,ND2,113,113
22,D3,142,142
22,ND3,113,113
23,D0,88,70
23,ND0,99,99
23,D1,142,140
23,ND1,99,81
23,D2,114,99
23,ND2,140,123
23,D3,114,105
23,ND3,113,108
24,D0,100,65
24,ND0,99,94
24,D1,100,48
24,ND1,141,123
24,D2,142,93
24,ND2,113,111
24,D3,114,108
24,ND3,113,107
25,D0,108,107
25,ND0,74,69
25,D1,74,70
25,ND1,59,58
25,D2,74,74
25,ND2,74,73
25,D3,74,69
25,ND3,75,73
26,D0,100,78
26,ND0,124,102
26,D1,98,75
26,ND1,94,85
26,D2,108,90
26,ND2,103,102
26,D3,128,81
26,ND3,104,101
27,D0,74,72
27,ND0,74,74
27,D1,108,72
27,ND1,73,68
27,D2,80,68
27,ND2,104,104
27,D3,96,91
27,ND3,93,92
28,D0,100,95
28,ND0,99,93
28,D1,100,89
28,ND1,141,134
28,D2,142,123
28,ND2,113,107
28,D3,114,92
28,ND3,113,109
29,D0,108,104
29,ND0,75,68
29,D1,74,71
29,ND1,77,73
29,D2,96,93
29,ND2,89,71
29,D3,92,80
29,ND3,106,106
30,D0,86,85
30,ND0,141,118
30,D1,100,78
30,ND1,99,95
30,D2,114,109
30,ND2,113,97
30,D3,142,140
30,ND3,113,113
31,D0,100,99
31,ND0,99,99
31,D1,142,137
31,ND1,99,93
31,D2,114,112
31,ND2,141,141
31,D3,114,111
31,ND3,113,112
