PID,D_accuracy,ND_accuracy,Overall_accuracy
1,0.8333333333333334,0.9166666666666666,0.875
2,0.3333333333333333,0.75,0.5416666666666666
3,0.9166666666666666,0.8333333333333334,0.875
4,0.5,0.9166666666666666,0.7083333333333334
6,0.6666666666666666,0.5,0.5833333333333334
7,0.75,0.6666666666666666,0.7083333333333334
8,0.5833333333333334,0.9166666666666666,0.75
9,0.5,0.6666666666666666,0.5833333333333334
10,0.75,0.6666666666666666,0.7083333333333334
11,0.9166666666666666,0.9166666666666666,0.9166666666666666
12,0.5833333333333334,0.75,0.6666666666666666
15,0.8333333333333334,0.9166666666666666,0.875
18,0.75,0.9166666666666666,0.8333333333333334
19,0.5,0.5833333333333334,0.5416666666666666
21,0.75,0.5,0.625
22,0.5833333333333334,0.6666666666666666,0.625
23,0.9166666666666666,0.75,0.8333333333333334
24,0.8333333333333334,0.9166666666666666,0.875
25,0.6666666666666666,0.8333333333333334,0.75
26,0.9166666666666666,0.9166666666666666,0.9166666666666666
27,0.5,0.8333333333333334,0.6666666666666666
28,0.4166666666666667,0.6666666666666666,0.5416666666666666
29,0.8333333333333334,0.75,0.7916666666666666
30,0.6666666666666666,0.8333333333333334,0.75
